Station MAC,First time seen,Last time seen,Power,# packets,BSSID,Probed ESSIDs
78:8B:2A:DD:CE:12, 2023-11-07 14:10:49, 2023-11-07 14:38:35,-1,229,4E:AB:F8:4C:AD:0F,
B0:C5:54:A5:D3:7E, 2023-11-07 14:10:49, 2023-11-07 14:38:37,-70,1450,(not associated),cloudmedwifi
FE:82:06:C5:FA:FF, 2023-11-07 14:10:49, 2023-11-07 14:10:49,-58,2,(not associated),
40:AC:BF:1E:BD:BD, 2023-11-07 14:10:49, 2023-11-07 14:38:39,-69,2691,40:0D:10:07:93:59,
86:AC:79:82:72:33, 2023-11-07 14:10:49, 2023-11-07 14:10:49,-76,2,(not associated),
7C:F6:66:56:96:E7, 2023-11-07 14:10:49, 2023-11-07 14:38:39,-44,628,B0:EC:DD:71:BB:48,
94:3C:C6:67:94:1C, 2023-11-07 14:10:50, 2023-11-07 14:10:50,-1,1,F0:3F:95:97:0F:20,
1C:90:FF:88:F3:42, 2023-11-07 14:10:51, 2023-11-07 14:38:35,-52,729,B0:EC:DD:71:BB:48,
BE:E7:23:46:F1:90, 2023-11-07 14:10:52, 2023-11-07 14:20:13,-61,182,E4:57:40:E0:25:67,
7C:F6:66:40:5A:A9, 2023-11-07 14:10:52, 2023-11-07 14:38:38,-28,756,B0:EC:DD:71:BB:48,
AC:84:C6:EA:32:A6, 2023-11-07 14:10:52, 2023-11-07 14:36:32,-76,12,F8:5B:3B:1E:E6:E5,icbelalpa2.4g
7C:F6:66:4A:37:C2, 2023-11-07 14:10:53, 2023-11-07 14:38:38,-34,764,B0:EC:DD:71:BB:48,
24:A1:60:36:87:68, 2023-11-07 14:10:54, 2023-11-07 14:38:32,-41,454,B0:EC:DD:71:BB:48,
EA:F6:DA:12:98:30, 2023-11-07 14:10:55, 2023-11-07 14:10:55,-57,1,(not associated),
50:8A:06:62:4E:19, 2023-11-07 14:10:59, 2023-11-07 14:38:20,-73,21,48:2C:D0:AD:D3:78,
70:C9:4E:1E:29:89, 2023-11-07 14:11:00, 2023-11-07 14:15:50,-81,18,F4:69:42:2D:04:4F,
38:AF:29:BC:F8:9A, 2023-11-07 14:11:00, 2023-11-07 14:33:18,-81,12,(not associated),paula 
1A:5B:BB:A4:24:83, 2023-11-07 14:11:00, 2023-11-07 14:11:00,-79,1,(not associated),
E8:DB:84:8D:83:80, 2023-11-07 14:11:02, 2023-11-07 14:38:17,-80,64,E4:57:40:E0:25:67,
CE:3F:7D:83:42:57, 2023-11-07 14:11:04, 2023-11-07 14:11:04,-79,1,(not associated),
4C:F5:DC:EB:AF:21, 2023-11-07 14:11:10, 2023-11-07 14:26:33,-80,2,48:D3:43:B7:61:E9,
10:59:32:BA:38:D7, 2023-11-07 14:11:11, 2023-11-07 14:36:32,-72,94,90:3F:EA:22:9B:0C,NEGRITA 2022
E8:13:6E:83:92:4C, 2023-11-07 14:11:14, 2023-11-07 14:11:14,-73,1,(not associated),
F0:A3:B2:09:7C:61, 2023-11-07 14:11:14, 2023-11-07 14:38:07,-67,16,E4:57:40:FF:5E:34,
EA:F8:29:E5:A2:53, 2023-11-07 14:11:14, 2023-11-07 14:11:14,-82,1,(not associated),
80:CB:BC:2B:CF:F2, 2023-11-07 14:11:15, 2023-11-07 14:38:16,-80,16,(not associated),mia
64:1C:AE:C3:C9:E6, 2023-11-07 14:11:15, 2023-11-07 14:19:44,-79,7,(not associated),
BC:2E:F6:68:17:0D, 2023-11-07 14:11:17, 2023-11-07 14:38:09,-75,20,48:D3:43:8B:2C:A1,
78:8B:2A:CD:F8:F5, 2023-11-07 14:11:21, 2023-11-07 14:36:01,-68,17,4E:AB:F8:4C:AD:0F,
FE:6F:39:2D:5E:A5, 2023-11-07 14:11:21, 2023-11-07 14:11:21,-80,1,(not associated),
5E:98:3F:01:9D:B8, 2023-11-07 14:11:24, 2023-11-07 14:11:24,-80,1,(not associated),
36:A5:9D:E8:52:7F, 2023-11-07 14:11:25, 2023-11-07 14:11:25,-78,1,(not associated),
62:32:B0:29:31:87, 2023-11-07 14:11:25, 2023-11-07 14:35:26,-79,9,F0:3F:95:97:0F:20,
86:E3:83:A7:12:04, 2023-11-07 14:11:26, 2023-11-07 14:11:26,-68,2,(not associated),
EE:92:88:C8:84:09, 2023-11-07 14:11:32, 2023-11-07 14:11:32,-1,1,00:35:1A:1D:68:C1,
0E:80:C5:FA:BF:33, 2023-11-07 14:11:40, 2023-11-07 14:11:40,-78,1,(not associated),
18:69:D8:18:7A:CA, 2023-11-07 14:11:41, 2023-11-07 14:12:50,-76,5,C4:69:F0:CF:F1:64,
6A:D6:44:44:73:55, 2023-11-07 14:11:45, 2023-11-07 14:11:45,-80,2,(not associated),
C2:BA:B2:1F:7C:30, 2023-11-07 14:11:45, 2023-11-07 14:11:45,-75,1,(not associated),
5A:B2:AE:F2:2E:EB, 2023-11-07 14:11:46, 2023-11-07 14:11:46,-80,1,(not associated),
16:39:02:95:11:93, 2023-11-07 14:11:48, 2023-11-07 14:11:48,-83,1,(not associated),
94:A4:08:31:51:A4, 2023-11-07 14:11:50, 2023-11-07 14:15:04,-82,4,E4:AB:89:63:7F:C0,
32:50:67:5B:79:8D, 2023-11-07 14:11:50, 2023-11-07 14:11:50,-74,1,(not associated),
56:78:70:6A:91:56, 2023-11-07 14:11:55, 2023-11-07 14:11:55,-79,1,(not associated),
DA:A1:19:50:9F:D9, 2023-11-07 14:11:56, 2023-11-07 14:11:56,-81,1,(not associated),
00:BF:AF:0E:15:81, 2023-11-07 14:12:00, 2023-11-07 14:20:37,-75,2,90:3F:EA:22:9B:0C,
44:D8:78:61:42:13, 2023-11-07 14:12:03, 2023-11-07 14:33:59,-75,3,B4:09:31:5B:FE:3C,
78:8B:2A:CD:FB:F8, 2023-11-07 14:12:04, 2023-11-07 14:37:42,-81,58,4E:AB:F8:4C:AD:0F,
92:AE:17:2A:B0:61, 2023-11-07 14:12:08, 2023-11-07 14:12:08,-72,1,(not associated),
6A:FF:7A:49:7E:1D, 2023-11-07 14:12:11, 2023-11-07 14:12:11,-76,2,C4:FB:AA:82:BD:DC,
6A:FF:7A:49:7E:1C, 2023-11-07 14:12:11, 2023-11-07 14:12:11,-80,1,C4:FB:AA:82:BD:DC,
96:BF:A7:63:AC:F4, 2023-11-07 14:12:11, 2023-11-07 14:12:11,-78,1,(not associated),
86:EE:CB:45:8D:37, 2023-11-07 14:12:11, 2023-11-07 14:12:11,-82,2,(not associated),
86:28:3F:DB:CB:48, 2023-11-07 14:12:13, 2023-11-07 14:12:13,-77,2,(not associated),
84:FD:D1:B4:69:FF, 2023-11-07 14:12:17, 2023-11-07 14:32:18,-75,2,(not associated),
92:C7:41:6C:CD:C3, 2023-11-07 14:12:18, 2023-11-07 14:12:18,-79,1,(not associated),
96:E1:85:A2:16:83, 2023-11-07 14:12:19, 2023-11-07 14:12:19,-81,1,(not associated),
00:BF:AF:62:30:7E, 2023-11-07 14:12:20, 2023-11-07 14:31:01,-82,33,(not associated),
8C:7A:AA:EA:57:F7, 2023-11-07 14:12:25, 2023-11-07 14:32:57,-62,7,E4:57:40:E0:25:67,
AC:AE:19:0A:95:ED, 2023-11-07 14:12:28, 2023-11-07 14:15:25,-1,5,30:C5:0F:3F:12:28,
D8:F1:5B:D6:69:17, 2023-11-07 14:12:29, 2023-11-07 14:38:02,-76,29,C4:69:F0:CF:F1:64,
60:32:B1:B8:9A:F0, 2023-11-07 14:12:30, 2023-11-07 14:36:01,-78,6,(not associated),WOM-839043
CA:EE:67:DE:3B:8D, 2023-11-07 14:12:30, 2023-11-07 14:12:30,-77,1,(not associated),
C6:C8:AE:E4:06:9A, 2023-11-07 14:12:32, 2023-11-07 14:12:32,-75,1,(not associated),
26:CF:DA:6B:8A:E6, 2023-11-07 14:12:35, 2023-11-07 14:17:37,-68,2,(not associated),
F2:35:BB:5D:E9:AE, 2023-11-07 14:12:36, 2023-11-07 14:12:36,-81,1,(not associated),
36:B0:0A:B8:AC:9B, 2023-11-07 14:12:37, 2023-11-07 14:12:37,-81,1,(not associated),
7A:02:13:C1:4B:58, 2023-11-07 14:12:41, 2023-11-07 14:12:41,-76,2,(not associated),
20:79:18:AC:7B:F5, 2023-11-07 14:12:45, 2023-11-07 14:32:55,-44,4,(not associated),Y4rd13-Ont
BE:92:EE:35:70:EF, 2023-11-07 14:12:46, 2023-11-07 14:24:51,-73,4,22:89:A0:60:4D:31,iPhone de Florencia
EE:4F:B2:4C:8F:E6, 2023-11-07 14:12:47, 2023-11-07 14:32:46,-74,8,44:48:B9:49:5C:70,Centro Casperia
8C:EA:48:E9:B4:1D, 2023-11-07 14:12:47, 2023-11-07 14:12:47,-72,1,C4:69:F0:C9:CF:64,
72:ED:DF:FF:2E:CE, 2023-11-07 14:12:48, 2023-11-07 14:12:48,-78,1,(not associated),
12:71:72:38:5D:5F, 2023-11-07 14:12:49, 2023-11-07 14:12:49,-80,1,(not associated),
8A:BA:03:3F:24:14, 2023-11-07 14:12:54, 2023-11-07 14:12:54,-74,2,(not associated),
76:B5:EF:26:68:33, 2023-11-07 14:12:58, 2023-11-07 14:12:58,-78,1,(not associated),
66:63:46:F7:71:45, 2023-11-07 14:12:59, 2023-11-07 14:12:59,-74,1,(not associated),
BA:39:D3:56:99:65, 2023-11-07 14:13:00, 2023-11-07 14:13:00,-76,2,(not associated),
20:79:18:BC:6B:19, 2023-11-07 14:13:00, 2023-11-07 14:38:04,-73,24,(not associated),
B8:AB:62:F8:69:2B, 2023-11-07 14:13:02, 2023-11-07 14:34:08,-78,7,(not associated),iPhone de Daniela
FA:D8:00:3A:D9:47, 2023-11-07 14:13:02, 2023-11-07 14:13:02,-83,1,(not associated),
DA:A1:19:3D:DF:C1, 2023-11-07 14:13:06, 2023-11-07 14:13:06,-70,1,(not associated),
0A:82:AB:99:41:BC, 2023-11-07 14:13:09, 2023-11-07 14:13:09,-79,2,(not associated),
EA:9F:80:06:E0:30, 2023-11-07 14:13:12, 2023-11-07 14:34:52,-75,28,40:0D:10:07:93:59,
AE:CD:62:31:0F:7E, 2023-11-07 14:13:16, 2023-11-07 14:13:16,-71,2,(not associated),
28:AD:18:BF:A4:80, 2023-11-07 14:13:19, 2023-11-07 14:32:46,-63,4,E4:57:40:AC:55:F9,
42:8A:63:35:A0:AC, 2023-11-07 14:13:19, 2023-11-07 14:13:19,-75,1,(not associated),
56:64:AC:34:95:67, 2023-11-07 14:13:19, 2023-11-07 14:13:19,-76,1,(not associated),
3E:09:F4:B0:A5:96, 2023-11-07 14:13:24, 2023-11-07 14:13:24,-81,1,(not associated),
EE:EA:63:5B:0A:00, 2023-11-07 14:13:33, 2023-11-07 14:13:33,-76,1,(not associated),
7E:A1:04:AD:F4:B3, 2023-11-07 14:13:43, 2023-11-07 14:13:43,-74,1,(not associated),
34:20:03:8E:04:7E, 2023-11-07 14:13:48, 2023-11-07 14:36:05,-75,9,90:17:3F:E7:84:70,
72:E6:73:20:D9:DC, 2023-11-07 14:13:48, 2023-11-07 14:16:46,-79,37,48:D3:43:BD:CF:F1,VTR-0795604
4E:72:4B:14:C2:E2, 2023-11-07 14:13:55, 2023-11-07 14:37:59,-69,32,DA:81:05:63:7D:4D,iPhone de Florencia
D8:EB:46:73:76:85, 2023-11-07 14:13:56, 2023-11-07 14:13:56,-79,1,(not associated),Dpto611_Wifi
A6:EE:FE:CF:8A:FC, 2023-11-07 14:13:57, 2023-11-07 14:13:57,-84,1,(not associated),
9A:4A:76:69:1B:06, 2023-11-07 14:14:02, 2023-11-07 14:14:02,-75,1,(not associated),
C2:3C:F7:94:0E:93, 2023-11-07 14:14:03, 2023-11-07 14:14:03,-74,2,(not associated),
62:2D:07:45:E4:76, 2023-11-07 14:14:08, 2023-11-07 14:14:08,-71,1,(not associated),
66:CE:02:16:36:C9, 2023-11-07 14:14:09, 2023-11-07 14:14:09,-76,1,(not associated),
B2:95:0C:CA:C0:D5, 2023-11-07 14:14:10, 2023-11-07 14:14:10,-78,2,(not associated),
9E:A2:FF:8A:84:54, 2023-11-07 14:14:15, 2023-11-07 14:14:15,-74,2,(not associated),
38:1F:8D:CD:31:55, 2023-11-07 14:14:17, 2023-11-07 14:28:54,-82,3,90:17:3F:E7:84:70,
9A:28:11:40:58:E5, 2023-11-07 14:14:19, 2023-11-07 14:14:19,-74,1,(not associated),
56:DB:AE:00:1A:87, 2023-11-07 14:14:20, 2023-11-07 14:14:20,-77,1,(not associated),
8E:5E:32:77:B7:7C, 2023-11-07 14:14:26, 2023-11-07 14:14:26,-74,1,(not associated),
98:22:EF:1F:D7:0D, 2023-11-07 14:14:30, 2023-11-07 14:29:58,-70,3,A4:6D:A4:34:94:DC,
6A:E8:DE:4A:20:EF, 2023-11-07 14:14:34, 2023-11-07 14:14:34,-75,1,(not associated),
12:A1:0F:BD:35:56, 2023-11-07 14:14:45, 2023-11-07 14:14:45,-75,1,(not associated),
6E:BA:46:3E:30:C1, 2023-11-07 14:14:45, 2023-11-07 14:22:14,-73,52,22:89:A0:60:4D:31,
C0:39:5A:E5:31:A7, 2023-11-07 14:14:47, 2023-11-07 14:33:24,-80,10,(not associated),BILLUNDVINA
C6:C5:6B:B3:26:59, 2023-11-07 14:14:51, 2023-11-07 14:14:51,-72,1,(not associated),
C2:35:E2:BE:66:6C, 2023-11-07 14:14:53, 2023-11-07 14:14:53,-72,1,(not associated),
70:89:76:B6:96:4D, 2023-11-07 14:14:56, 2023-11-07 14:38:27,-77,46,E4:57:40:E0:25:67,
F0:35:75:16:91:A5, 2023-11-07 14:15:00, 2023-11-07 14:37:52,-77,45,E4:57:40:AC:55:F9,
AA:10:E8:07:94:75, 2023-11-07 14:15:08, 2023-11-07 14:15:08,-80,2,(not associated),
7E:7F:91:69:C7:19, 2023-11-07 14:15:10, 2023-11-07 14:15:10,-61,1,(not associated),
22:78:7C:57:A4:44, 2023-11-07 14:15:10, 2023-11-07 14:15:10,-76,1,(not associated),
EC:4D:3E:3B:F4:0E, 2023-11-07 14:15:17, 2023-11-07 14:37:23,-71,57,18:35:D1:8F:4E:61,
4A:AA:14:45:34:CC, 2023-11-07 14:15:17, 2023-11-07 14:15:17,-75,1,(not associated),
92:07:6F:4E:B4:65, 2023-11-07 14:15:18, 2023-11-07 14:15:18,-75,1,(not associated),
CE:AF:00:5B:61:36, 2023-11-07 14:15:18, 2023-11-07 14:15:18,-81,1,(not associated),
02:29:74:83:75:B0, 2023-11-07 14:15:33, 2023-11-07 14:15:33,-77,1,(not associated),
B2:5E:D8:1A:40:CA, 2023-11-07 14:15:33, 2023-11-07 14:15:33,-79,1,(not associated),
1A:90:13:1A:0F:1E, 2023-11-07 14:15:40, 2023-11-07 14:15:40,-73,1,(not associated),
7C:96:D2:B4:67:04, 2023-11-07 14:15:40, 2023-11-07 14:15:40,-80,1,(not associated),
0E:02:20:FF:19:5D, 2023-11-07 14:15:40, 2023-11-07 14:15:40,-75,1,(not associated),
D6:80:68:FE:68:D6, 2023-11-07 14:15:45, 2023-11-07 14:31:45,-75,7,(not associated),
7E:11:B5:16:6A:19, 2023-11-07 14:15:48, 2023-11-07 14:15:48,-74,1,(not associated),
FA:FE:B2:E9:FF:9E, 2023-11-07 14:15:54, 2023-11-07 14:15:54,-73,1,(not associated),
B2:E9:46:28:7F:C0, 2023-11-07 14:15:55, 2023-11-07 14:15:55,-81,1,(not associated),
96:B2:3A:4B:10:C5, 2023-11-07 14:15:57, 2023-11-07 14:15:57,-81,1,(not associated),
2A:28:30:6B:EC:2F, 2023-11-07 14:15:59, 2023-11-07 14:15:59,-78,1,(not associated),
0E:9B:BC:E5:F4:A9, 2023-11-07 14:16:00, 2023-11-07 14:16:00,-77,1,(not associated),
8A:1B:39:CB:69:E7, 2023-11-07 14:16:09, 2023-11-07 14:16:09,-68,1,(not associated),
BA:78:6F:03:C8:78, 2023-11-07 14:16:10, 2023-11-07 14:16:10,-80,1,(not associated),
A2:F7:0E:6F:15:5D, 2023-11-07 14:16:11, 2023-11-07 14:16:11,-80,1,(not associated),
16:66:B5:10:43:B8, 2023-11-07 14:16:22, 2023-11-07 14:16:22,-74,1,(not associated),
5A:BE:D6:70:44:71, 2023-11-07 14:16:22, 2023-11-07 14:16:23,-76,2,(not associated),
0E:F2:47:96:AB:AC, 2023-11-07 14:16:29, 2023-11-07 14:16:29,-73,1,(not associated),
FA:35:A3:84:16:D0, 2023-11-07 14:16:32, 2023-11-07 14:16:32,-70,1,(not associated),
86:58:F0:28:09:DA, 2023-11-07 14:16:33, 2023-11-07 14:16:33,-75,1,(not associated),
46:12:8A:89:EA:BC, 2023-11-07 14:16:38, 2023-11-07 14:16:38,-78,1,(not associated),
72:A9:25:AF:74:A9, 2023-11-07 14:16:39, 2023-11-07 14:16:39,-78,1,(not associated),
E8:2A:44:A6:78:9B, 2023-11-07 14:16:39, 2023-11-07 14:16:39,-80,2,(not associated),
CE:B2:20:2C:74:8F, 2023-11-07 14:16:42, 2023-11-07 14:19:50,-76,2,(not associated),
02:03:B8:F6:9F:76, 2023-11-07 14:16:44, 2023-11-07 14:16:44,-78,1,(not associated),
28:3A:4D:61:51:27, 2023-11-07 14:16:44, 2023-11-07 14:16:44,-82,1,00:35:1A:1D:68:C3,Funcionarios
F2:93:B7:FA:1C:C4, 2023-11-07 14:16:45, 2023-11-07 14:16:45,-78,2,(not associated),
8A:91:1E:EF:EF:35, 2023-11-07 14:16:47, 2023-11-07 14:16:47,-83,1,(not associated),
BA:BF:1A:7A:B5:2F, 2023-11-07 14:16:52, 2023-11-07 14:26:52,-75,5,(not associated),
B4:A8:98:AB:3E:D5, 2023-11-07 14:16:55, 2023-11-07 14:16:55,-1,1,00:35:1A:1D:68:C1,
5E:06:F4:18:8F:60, 2023-11-07 14:16:57, 2023-11-07 14:16:57,-67,2,(not associated),
7E:CF:E9:9D:C9:54, 2023-11-07 14:17:01, 2023-11-07 14:17:01,-70,1,(not associated),
A2:77:FD:07:D6:74, 2023-11-07 14:17:06, 2023-11-07 14:17:06,-81,1,(not associated),
72:41:C8:DD:A1:CB, 2023-11-07 14:17:12, 2023-11-07 14:17:12,-73,1,(not associated),
1A:5C:06:CE:17:7F, 2023-11-07 14:17:14, 2023-11-07 14:17:14,-71,1,(not associated),
56:A3:DB:25:AC:E2, 2023-11-07 14:17:14, 2023-11-07 14:17:14,-81,2,(not associated),
7A:2C:F2:4B:93:8E, 2023-11-07 14:17:18, 2023-11-07 14:17:18,-76,1,(not associated),
26:61:4A:9F:FE:0E, 2023-11-07 14:17:19, 2023-11-07 14:17:19,-75,1,(not associated),
96:A7:FE:08:3C:71, 2023-11-07 14:17:22, 2023-11-07 14:17:22,-78,1,(not associated),
B6:28:45:53:03:A5, 2023-11-07 14:17:31, 2023-11-07 14:17:31,-80,2,(not associated),
76:4E:B5:B4:20:8B, 2023-11-07 14:17:42, 2023-11-07 14:17:42,-74,2,(not associated),
22:9D:A0:87:92:30, 2023-11-07 14:17:45, 2023-11-07 14:17:45,-77,2,F4:92:BF:C7:65:35,
8E:5A:D0:EA:1B:6A, 2023-11-07 14:17:47, 2023-11-07 14:17:47,-74,2,(not associated),
